Title,Directors,Year
Amelia's Children,Gabriel Abrantes,2023
Elaha,Milena Aboyan,2023
La Grâce,Ilya Povolotsky,2023
Les Baisers de secours,Philippe Garrel,1989
"Blackbird, Blackberry",Elene Naveriani,2023
Priscilla,Sofia Coppola,2023
N° 10,Alex Van Warmerdam,2021
For Ever Mozart,Jean-Luc Godard,1996
Détective Conan : Le sous-marin noir,Yuzuru Tachikawa,2023
Une affaire d'honneur,Vincent Perez,2023
Mars Express,Jérémie Périn,2023
Les Chambres rouges,Pascal Plante,2023
Mutant Tiger Chronicles,Liu Wenpu,2022
Music,Angela Schanelec,2023
Un hiver en été,Laetitia Masson,2021
Un corps sous la lave,"Helena Girón,Samuel M. Delgado",2021
Les Colons,Felipe Gálvez Haberle,2023
Les Tournesols sauvages,Jaime Rosales,2022
L'Innocence,Hirokazu Kore-Eda,2023
Heart of Champions,Michael Mailer,2021
Animal,Sofia Exarchou,2023
De nos jours...,Hong Sang-soo,2023
Neptune Frost,"Anisia Uzeyman,Saul Williams",2021
La Vie rêvée de Miss Fran,Rachel Lambert,2023
Amours à la finlandaise,Selma Vilhunen,2023
On dirait la planète Mars,Stéphane Lafleur,2022
Infiltrée,Justin Lerner,2022
La Tête froide,Stéphane Marchetti,2023
Past Lives – Nos vies d'avant,Celine Song,2023
Ça tourne à Séoul !,Kim Jee-woon,2023
Sergent major Eismayer,David Wagner,2022
The Survival of Kindness,Rolf de Heer,2022
L'Imperméable magique,Stephen Shimek,2024
La Chute,Oliver Hirschbiegel,2003
Secret mortel,Stuart Altman,2023
La Fille de son père,"Erwan Le Duc,Erwan Le Duc",2023
Noël joyeux,Clément Michel,2023
Le Plongeur,Francis Leclerc,2023
Bâtiment 5,"Ladj Ly,Ladj Ly",2023
Rendez-vous,André Téchiné,1983
Soudain seuls,Thomas Bidegain,2023
Munch,Henrik Martin Dahlsbakken,2023
La bête,Bertrand Bonello,2023
Captives,Arnaud des Pallières,2023
Anatomia,Aleksandra Jankowska,2021
Sous le feu ennemi,Louis Mandylor,2023
Gameboys,Ivan Andrew Payawal,2023
5 Hectares,Emilie Deleuze,2023
Sparta,Ulrich Seidl,2022
Fremont,Babak Jalali,2023
Le Temps d'aimer,Katell Quillévéré,2023
Il Boemo,Petr Václav,2022
Derrière les arbres,Thiago Cazado,2023
L'Étroit mousquetaire,Max Linder,1922
Perfect Days,Wim Wenders,2023
Shttl,Ady Walter,2022
Rue des Dames,"Ekoué Labitey,Hamé Bourokba",2022
Toi non plus tu n'as rien vu,Béatrice Pollet,2022
The Sporting Club,Larry Peerce,1971
La Truite,Joseph Losey,1982
Carnifex,Sean Lahiff,2022
Les filles vont bien,Itsaso Arana,2023
N'oublie pas les fleurs,Genki Kawamura,2022
Un hiver à Yanji,Anthony Chen,2023
Rien à perdre,Delphine Deloget,2023
Cult Killer,Jon Keeyes,2023
Fool's Paradise,Charlie Day,2023
La Vie des autres,Florian Henckel von Donnersmarck,2006
Le Dilemme,Mani Kaul,1973
Le Maître du jeu,Mauro Carvalho,2014
Et la fête continue !,Robert Guédiguian,2023
Chevalier noir,Emad Aleebrahim Dehkordi,2022
La Vénus d'argent,Héléna Klotz,2023
Vincent doit mourir,Stéphan Castang,2023
