Title,Directors,Year
Magnificat,Virginie Sauveur,2022
Vers un avenir radieux,Nanni Moretti,2022
Sexygénaires,Robin Sykes,2023
Faces cachées,"Christine Molloy,Joe Lawlor",2019
Nouveau départ,Philippe Lefebvre,2023
Hautes fréquences,Philippe Martinez,2023
The Lost Footage of Leah Sullivan,Burt Grinstead,2018
Elephant,Kamil Krawczycki,2022
Un été inoubliable,Quentin Lee,2023
Love Life,Kôji Fukada,2022
"Dirty, Difficult, Dangerous",Wissam Charaf,2021
Howard's Mill,Shannon Houchins,2021
La Nuit du verre d'eau,Carlos Chahine,2022
Animalia,Sofia Alaoui,2023
Luise,Matthias Luthardt,2023
Des mains en or,Isabelle Mergault,2023
In a Stranger's House,Richard Waters,2018
Satan's Slaves 2: Communion,Joko Anwar,2022
Fifi,"Paul Saintillan,Jeanne Aslan",2022
La Conférence,Matti Geschonneck,2022
La traque du Condor,Phil Blattenberger,2023
Le Magnifique,Philippe de Broca,1973
Nayola,José Miguel Ribeiro,2022
Pornomelancolia,Manuel Abramovich,2022
L'Ile rouge,Robin Campillo,2022
Le Château,Michael Haneke,1997
La bête dans la jungle,Patric Chiha,2023
Blue Jean,Georgia Oakley,2022
Rabiye Kurnaz contre George W. Bush,Andreas Dresen,2022
Le processus de paix,Ilan Klipper,2022
Un homme amoureux,Diane Kurys,1987
Omar la fraise,Elias Belkeddar,2023
A E I O U - L'alphabet rapide de l'amour,Nicolette Krebitz,2021
L'Odeur du vent,Hadi Mohaghegh,2022
Nezouh,Soudade Kaadan,2022
Huesera,Michelle Garza,2022
L'Homme qui voulait vivre sa vie,Eric Lartigau,2010
Les Secrets de la princesse de Cadignan,Arielle Dombasle,2023
Oppression,Farren Blackburn,2016
Jeanne du Barry,Maïwenn,2023
"Moi César, 10 ans 1/2, 1,39 M",Richard Berry,2003
"Ashkal, l'enquête de Tunis",Youssef Chebbi,2022
Umami,Slony Sow,2022
The Lady,Luc Besson,2011
Intrigo : Samaria,Daniel Alfredson,2019
Lucy,Luc Besson,2014
"Saules aveugles, femme endormie",Pierre Földes,2022
Dozens of Norths,Koji Yamamura,2021
Arrêtez- moi là,Gilles Bannier,2014
"Un an, une nuit",Isaki Lacuesta,2022
Yamakasi,Ariel Zeitoun,2001
"Piper, le joueur de flûte",Anthony Waller,2023
20 ans d'écart,David Moreau,2013
Amore mio,Guillaume Gouix,2022
L'Amour dure trois ans,Frédéric Beigbeder,2011
Marinette,Virginie Verrier,2023
Holy Emy,Araceli Lemos,2021
Family Dinner,Peter Hengl,2022
Intrigo : chère Agnès,Daniel Alfredson,2019
U-571,Jonathan Mostow,2000
Dikkenek,Olivier Van Hoofstadt,2006
Le Principal,Chad Chenouga,2022
Règle 34,Júlia Murat,2022
Coeur errant,Leonardo Brzezicki,2021
War Pony,"Riley Keough,Gina Gammell",2022
Je verrai toujours vos visages,Jeanne Herry,2022
Temps mort,Eve Duchemin,2022
Loup & Chien,Cláudia Varejão,2022
Intrigo : mort d'un auteur,Daniel Alfredson,2018
Le Transporteur,"Louis Leterrier,Corey Yuen",2002
Rheingold,Fatih Akin,2022
Ma vie de chat,Barry Sonnenfeld,2016
Taken,Pierre Morel,2008
Go Fast,"Olivier Van Hoofstadt,Catalina Denis",2007
Au nom de la loi,Maurice Tourneur,1932
Manon des sources,Claude Berri,1985
Burning Days,Emin Alper,2022
Pour l'honneur,Philippe Guillard,2023
L'Homme debout,Florence Vignon,2023
Nos cérémonies,Simon Rieth,2022
Grand Paris,Martin Jauvat,2022
Le Fondateur,John Lee Hancock,2016
Adèle Blanc-Sec,Luc Besson,2010
Goupi Mains-Rouges,Jacques Becker,1942
Nikita,Luc Besson,1990
Les Amoureux sont seuls au monde,Henri Decoin,1947
Quand tu seras grand,"Eric Métayer,Andréa Bescond",2023
Une belle course,Christian Carion,2022
Le Brio,Yvan Attal,2016
Le jeune imam,Kim Chapiron,2021
Chili 1976,Manuela Martelli,2022
10 jours encore sans maman,Ludovic Bernard,2023
Une histoire simple,Claude Sautet,1978
Les trois frères,"Bernard Campan,Didier Bourdon",1995
Voyages en Italie,"Sophie Letourneur,Sophie Letourneur",2022
Avant l'effondrement,"Alice Zeniter,Benoît Volnais",2023
Léon,Luc Besson,1994
Garçon !,Claude Sautet,1983
Ma famille t'adore déjà !,"Jérôme Commandeur,Alan Corno",2016
Le Paradis,Zeno Graton,2022
Les Valseuses,Bertrand Blier,1974
Voici le temps des assassins,Julien Duvivier,1956
Le prix du passage,Thierry Binisti,2021
Carmen,Benjamin Millepied,2023
Ma langue au chat,Cécile Telerman,2023
Dalva,Emmanuelle Nicot,2022
Les Croix de bois,Raymond Bernard,1931
Petit Jésus,Julien Rigoulot,2023
Stars at noon,Claire Denis,2022
La Gravité,Cédric Ido,2022
Le cinquième élément,Luc Besson,1997
Un balcon sur la mer,Nicole Garcia,2010
The Ghost Writer,Roman Polanski,2010
Jamais le premier soir,Mélissa Drigeard,2013
La Fête à Henriette,Julien Duvivier,1952
Le Gendre de ma vie,François Desagnat,2017
La Belle équipe,Julien Duvivier,1936
Le Professeur,Valerio Zurlini,1972
A Dangerous Method,"David Cronenberg,David Cronenberg",2011
The Nice Guys,Shane Black,2016
The Duke,Roger Michell,2020
Valmont,Miloš Forman,1989
La Fin du jour,Julien Duvivier,1938
The Duchess,Saul Dibb,2008
Une histoire d'amour,Alexis Michalik,2022
La Fille d'Albino Rodrigue,Christine Dory,2023
Eternal Daughter,Joanna Hogg,2022
Slumdog Millionnaire,Danny Boyle,2008
À mon seul désir,Lucie Borleteau,2022
L'Assassinat du père Noël,Christian-Jaque,1941
The Homesman,Tommy Lee Jones,2014
Beaten to Death,Sam Curtain,2023
Une femme de ménage,"Claude Berri,Claude Berri",2002
Section spéciale,Constantin Costa-Gavras,1974
Le Vieil homme et l'enfant,Claude Berri,1966
Hokusai,Hajime Hashimoto,2020
The Queen,Stephen Frears,2006
About Kim Sohee,July Jung,2022
Showgirls,Paul Verhoeven,1995
Greenberg,Noah Baumbach,2010
L'Établi,Mathias Gokalp,2023
Taipei Story,Edward Yang,1985
The Killer Inside Me,Michael Winterbottom,2010
"Terminator 2, le jugement dernier",James Cameron,1990
Quai d'Orsay,Bertrand Tavernier,2013
Proxima,Alice Winocour,2019
Chien de la casse,Jean-Baptiste Durand,2023
Le Skylab,Julie Delpy,2011
Le Guépard,Luchino Visconti,1962
Brighton 4th,Levan Koguashvili,2021
Noémie dit oui,Geneviève Albert,2022
Los Reyes del mundo,Laura Mora,2022
Spring Breakers,Harmony Korine,2012
Hara-kiri,Masaki Kobayashi,1962
Ran (Akira Kurosawa),Akira Kurosawa,1985
Nous finirons ensemble,Guillaume Canet,2019
The Tree of life,Terrence Malick,2011
La Vache et le Prisonnier,Henri Verneuil,1959
Le Bleu du Caftan,Maryam Touzani,2022
Notre-Dame brûle,Jean-Jacques Annaud,2022
Le Sixième sens,Michael Mann,1986
De grandes espérances,Sylvain Desclous,2022
Comme une actrice,Sébastien Bailly,2023
Le Capitaine Volkonogov s'est échappé,"Aleksey Chupov,Natalya Merkulova",2021
Houria,Mounia Meddour,2022
Pride,Matthew Warchus,2013
Le Horla,Marion Desseigne-Ravel,2022
Le Barrage,Ali Cherri,2022
Tandem,Patrice Leconte,1987
The Last Movie,Dennis Hopper,1971
Hamburger Film Sandwich,John Landis,1977
Tess,Roman Polanski,1979
Lui,Guillaume Canet,2022
La Religieuse,Jacques Rivette,1966
Tchao Pantin,Claude Berri,1982
Lucie Aubrac,Claude Berri,1996
La Syndicaliste,Jean-Paul Salomé,2022
Mon crime,François Ozon,2023
Les petits mouchoirs,Guillaume Canet,2010
Mektoub My Love : Canto Uno,Abdellatif Kechiche,2017
Normale,Olivier Babinet,2023
Something in the Dirt,Aaron Moorhead,2022
Le Pianiste,Roman Polanski,2001
Le Redoutable,Michel Hazanavicius,2016
Un dragon en forme de nuage,Sergio Castellitto,2021
Marie-Antoinette,Sofia Coppola,2006
The Son,Florian Zeller,2022
Petit Pays,Eric Barbier,2019
Les Orgueilleux,Yves Allégret,1952
Le dernier Vice-Roi des Indes,Gurinder Chadha,2017
Inland Empire,David Lynch,2006
Les Portes de la nuit,Marcel Carné,1946
Marie-Octobre,Julien Duvivier,1958
The Lost City of Z,James Gray,2016
Lucie perd son cheval,Claude Schmitz,2021
Les Inshortables - Volume 7,"Jerry Carlsson,Benjamin Belloir",2022
Beau is Afraid,Ari Aster,2023
Revoir Paris,Alice Winocour,2022
La Marche,Nabil Ben Yadir,2013
Tatouage,Yasuzô Masumura,1966
L'improbable voyage d'Harold Fry,Hettie MacDonald,2023
Goutte d'Or,Clément Cogitore,2022
Lost in Translation,Sofia Coppola,2003
La jeune fille à la perle,Peter Webber,2003
La fille coupée en deux,Claude Chabrol,2007
Paris,Cédric Klapisch,2008
Parlez-moi de la pluie,Agnès Jaoui,2008
L'Eden,Andrés Ramírez Pulido,2022
La Promesse de l'aube,Eric Barbier,2017
Les âmes soeurs,André Téchiné,2023
Moonlight,Barry Jenkins,2016
Million Dollar Baby,Clint Eastwood,2004
Love Actually,Richard Curtis,2002
Tengo sueños eléctricos,Valentina Maurel,2022
Minuit à Paris,Woody Allen,2011
Un Homme heureux,Tristan Séguéla,2023
Miss Sloane,John Madden,2016
Judy,Rupert Goold,2019
Le Jouet,Francis Veber,1976
Loving,Jeff Nichols,2015
"Fin août, début septembre",Olivier Assayas,1998
Benedetta,Paul Verhoeven,2021
Le Lauréat,Mike Nichols,1967
L'Astronaute,Nicolas Giraud,2022
Le Marchand de sable,Steve Achiepo,2022
Johnny English contre-attaque,David Kerr,2018
Un Petit miracle,Sophie Boudre,2022
En plein feu,Quentin Reynaud,2022
I love you Phillip Morris,"Glenn Ficarra,John Requa",2009
Nanny McPhee,Kirk Jones,2005
Steak,"Quentin Dupieux,Quentin Dupieux",2006
Invasion Los Angeles,John Carpenter,1988
Et l'amour dans tout ça ?,Shekhar Kapur,2022
Alceste à bicyclette,Philippe Le Guay,2012
Black Book,Paul Verhoeven,2006
Irréversible - Inversion intégrale,Gaspar Noé,2020
The Lost King,Stephen Frears,2022
S'en fout la mort,Claire Denis,1990
Le Grand Bleu,Luc Besson,1988
Mon chien stupide,Yvan Attal,2019
Trois milliards d'un coup,Peter Yates,1967
Adiós entusiasmo,Vladimir Durán,2020
"Je vais bien, ne t'en fais pas",Philippe Lioret,2006
21 Nuits avec Pattie,"Arnaud Larrieu,Jean-Marie Larrieu",2015
Apocalypse Now redux,Francis Ford Coppola,1979
Les Petites Victoires,Mélanie Auffret,2023
Mémoires de jeunesse,James Kent,2014
Un Varón,Fabian Hernández,2022
Highlander,Russell Mulcahy,1985
Guy,Alex Lutz,2018
Good Morning England,Richard Curtis,2008
My Left Foot,Jim Sheridan,1989
L'Évangile selon Saint-Matthieu,Pier Paolo Pasolini,1964
L'Homme qui venait d'ailleurs,Nicolas Roeg,1976
Five,Igor Gotesman,2015
Lumières dansantes,Anders Thomas Jensen,2000
Un petit frère,Léonor Serraille,2022
La Belle et la Bête,Christophe Gans,2014
Borsalino & Co.,Jacques Deray,1974
Madres paralelas,"Pedro Almodóvar,Pedro Almodóvar",2021
The House,Kyle Edward Ball,2022
Flic Story,Jacques Deray,1975
Des enfants gâtés,Bertrand Tavernier,1977
L'Immensità,Emanuele Crialese,2022
Le Jeu,Fred Cavayé,2017
Tully,Jason Reitman,2017
Les Rascals,Jimmy Laporal-Trésor,2022
Et au milieu coule une rivière,Robert Redford,1992
La Montagne,Thomas Salvador,2022
King Kong,John Guillermin,1976
Vaincre ou mourir,"Vincent Mottez,Paul Mignot",2023
Infernal Affairs I,"Andrew Lau,Alan Mak",2002
Petites,"François Roy,Julie Lerat-Gersant,",2022
Cyrano de Bergerac,Jean-Paul Rappeneau,1990
El Agua,Elena López Riera,2022
Germinal,Claude Berri,1993
Deux moi,Cédric Klapisch,2019
Les Contes d'Hoffmann,"Michael Powell,Emeric Pressburger",1951
De son vivant,Emmanuelle Bercot,2021
Le Secret,Robert Enrico,1974
Divertimento,Marie-Castille Mention-Schaar,2023
The Whale,Darren Aronofsky,2022
L'amant,Jean-Jacques Annaud,1992
Douleur et Gloire,Pedro Almodóvar,2019
Ursule et Grelu,Serge Korber,1974
Juste ciel !,Laurent Tirard,2022
L'Homme le plus heureux du monde,Teona Strugar Mitevska,2022
Adam's Apples,Anders Thomas Jensen,2005
Jeanne Devère,Marcel Bluwal,2011
Petit Mal,Ruth Caudeli,2022
Crash,David Cronenberg,1996
En mai fais ce qu'il te plaît,Christian Carion,2015
Les amants passagers,Pedro Almodóvar,2013
Le Monde est à toi,Romain Gavras,2018
Tirailleurs,Mathieu Vadepied,2022
Les Premiers Soldats,Rodrigo de Oliveira,2022
Earwig,Lucile Hadzihalilovic,2021
Le septième juré,Georges Lautner,1961
Interdit aux chiens et aux Italiens,Alain Ughetto,2022
Domingo et la brume,Ariel Escalante,2022
Anima Bella,Dario Albertini,2022
Neneh Superstar,Ramzi Ben Sliman,2023
Les Miens,Roschdy Zem,2022
Caravage,Michele Placido,2022
Nos frangins,Rachid Bouchareb,2022
La Ligne,Ursula Meier,2022
La Cage,Pierre Granier-Deferre,1975
L'Envol,Pietro Marcello,2022
L'Homme du président,Woo Min-ho,2020
16 ans,Philippe Lioret,2022
Didier,Alain Chabat,1996
Monsieur Klein,Joseph Losey,1975
Le Jeu avec le feu,Alain Robbe-Grillet,1974
Bloody Milkshake,Navot Papushado,2019
"La Romancière, le Film et le Heureux Hasard",Hong Sang-soo,2022
Le Piège de Huda,Hany Abu-Assad,2021
En décalage,Juanjo Giménez Peña,2021
R.M.N.,Cristian Mungiu,2022
America Latina,"Fabio D'Innocenzo,Damiano D'Innocenzo",2021
La Famille Asada,Ryôta Nakano,2020
C'est mon homme,Guillaume Bureau,2023
Le Malin,John Huston,1979
Le Pacte des loups,Christophe Gans,2001
Volver,Pedro Almodóvar,2006
Le Parfum vert,Nicolas Pariser,2021
Julieta,Pedro Almodóvar,2015
Astrakan,David Depesseville,2022
La Tempête,"William Shakespeare,Derek Jarman",1979
Tant que le soleil frappe,Philippe Petit,2022
Projet Wolf Hunting,Hong-seon Kim,2022
La Mauvaise éducation,Pedro Almodóvar,2003
Broadway,Christos Massalas,2022
The Housemaid,Sang-soo Im,2010
Fratè,"Barbara Biancardini,Karole Rocher",2022
Frère et soeur,Arnaud Desplechin,2022
Entre la vie et la mort,Giordano Gederlini,2021
Rimini,Ulrich Seidl,2022
Seule : Les dossiers Silvercloud,Jérôme Dassier,2023
Parle avec elle,Pedro Almodóvar,2001
Retour à Séoul,Davy Chou,2022
Mourir à Ibiza (Un film en trois étés),"Léo Couture,Anton Balekdjian,Matteo Eustachon",2022
Tu choisiras la vie,Stéphane Freiss,2022
Pulse,Aino Suni,2022
Terrifier 2,Damien Leone,2022
Arrête avec tes mensonges,Olivier Peyon,2022
Le Grand Bazar,Claude Zidi,1973
Emily,Frances O'Connor,2022
La piel que habito,Pedro Almodóvar,2011
"Kanun, la loi du sang",Jérémie Guez,2022
Au-dessous du volcan,John Huston,1984
All Hallows'Eve - A Terrifier story,Damien Leone,2013
Tel-Aviv – Beyrouth,Michale Boganim,2021
Pour la France,Rachid Hami,2022
Le Retour des hirondelles,Ruijun Li,2022
Les Cyclades,Marc Fitoussi,2022
Animals,Nabil Ben Yadir,2021
Radio Metronom,Alexandru Belc,2022
Ils sont grands ces petits,Joël Santoni,1979
La Grande magie,Noémie Lvovsky,2022
Venez voir,Jonás Trueba,2022
Nostalgia,Mario Martone,2022
Maestro(s),Bruno Chiche,2022
Cet été-là,Eric Lartigau,2022
Fumer fait tousser,"Quentin Dupieux,Quentin Dupieux",2022
Nos soleils,Carla Simón,2022
Les Survivants,Guillaume Renusson,2022
Couleurs de l'incendie,Clovis Cornillac,2022
Swing Rendez-vous,Gérome Barry,2022
American Carnage,Diego Hallivis,2022
Annie Colère,Blandine Lenoir,2022
Elle et lui au 14ème étage,Sophie Blondy,1999
Les Huit Montagnes,"Felix Van Groeningen,Felix Van Groeningen,Charlotte Vandermeersch",2022
The Novice,Lauren Hadaway,2021
Prison 77,Alberto Rodríguez,2022
Le cours de la vie,Frédéric Sojcher,2022
Reste un peu,Gad Elmaleh,2022
L'île,Anca Damian,2022
Camila sortira ce soir,Inés María Barrionuevo,2021
La Passagère,Héloïse Pelloquet,2022
Pluie noire,"Alexandra Matheou,Shôhei Imamura",1989
Le Fils de Jean,Philippe Lioret,2016
Fièvre méditerranéenne,Maha Haj,2022
Du crépitement sous les néons,FGKO,2022
Dogville,Lars von Trier,2003
La Tour,Guillaume Nicloux,2023
La Fiancée du pirate,Nelly Kaplan,1969
Première année,Thomas Lilti,2018
Yves,Benoît Forgeard,2019
Baccalauréat,Cristian Mungiu,2016
She Will,Charlotte Colbert,2021
Juste une nuit,Ali Asgari,2022
War Requiem,Derek Jarman,1989
Despedida,Vinicius Lopes,2022
La Vérité,Hirokazu Kore-Eda,2019
Sages-femmes,Léa Fehner,2022
Storia di vacanze,Fabio D'Innocenzo,2020
Un été sans histoires,Philippe Harel,1991
L'Origine du mal,Sébastien Marnier,2022
Mascarade,Nicolas Bedos,2022
Les Liens qui nous unissent,Daniele Luchetti,2020
L'Oeuvre sans auteur (Parties 1 & 2),Florian Henckel von Donnersmarck,2018
Ammonite,Francis Lee,2020
Une femme indonésienne,Kamila Andini,2022
Joyland,Saim Sadiq,2022
Corps et âme,Ildikó Enyedi,2016
Close,Lukas Dhont,2022
Casse-tête chinois,Cédric Klapisch,2012
Place publique,Agnès Jaoui,2017
L'Auberge espagnole,Cédric Klapisch,2002
Thelma,Joachim Trier,2017
Plancha,Éric Lavaine,2022
Les Poupées russes,Cédric Klapisch,2004
J'accuse,Abel Gance,1919
Polisse,Maïwenn Le Besco,2011
Cyrano de Bergerac,Augusto Genina,1923
La Daronne,Jean-Paul Salomé,2020
Un couple,Frederick Wiseman,2022
Charlotte,Tahir Rana,2021
Aucun ours,Jafar Panahi,2022
Le Garçon et la Bête,Mamoru Hosoda,2015
Le Serment de Pamfir,Dmytro Sukholytkyy-Sobchuk,2022
La Région sauvage,Amat Escalante,2016
Ténor,Claude Zidi Jr.,2021
Grand marin,Dinara Drukarova,2022
Roulez Jeunesse,Julien Guetta,2017
1492 : Christophe Colomb,Ridley Scott,1991
De bas étage,Yassine Qnia,2019
Brimstone,Martin Koolhoven,2016
Utu,Geoff Murphy,1982
Martyrs Lane,Ruth Platt,2021
Crash Test Aglaé,Eric Gravel,2016
Le Bossu,André Hunebelle,1959
Les Pires,Romane Gueret,2022
Un fils,Amal Bedjaoui,2003
Harka,Lotfy Nathan,2022
Les Trois Singes,Nuri Bilge Ceylan,2007
Le Photographe,Ritesh Batra,2019
Under the Silver Lake,David Robert Mitchell,2018
Regarde-moi dans les yeux,Tim Kirkman,2016
Le Daim,"Quentin Dupieux,Quentin Dupieux",2019
Rebelles,Allan Mauduit,2019
L'Outsider,Christophe Barratier,2016
Le Monde de Kaleb,Vasken Toranian,2022
Corsage,Marie Kreutzer,2022
Dark Waters,Todd Haynes,2019
Like Someone in Love,Abbas Kiarostami,2012
Mais qui a tué Pamela Rose ?,Eric Lartigau,2003
Fête de famille,Cédric Kahn,2019
Saint Amour,"Benoît Delépine,Gustave Kervern",2016
Onoda - 10000 nuits dans la jungle,Arthur Harari,2020
Monos,Alejandro Landes,2019
Superstar,Xavier Giannoli,2012
Splice,Vincenzo Natali,2009
A Scene at the Sea,Takeshi Kitano,1991
Les Meilleures,Marion Desseigne-Ravel,2019
Deux fils,Félix Moati,2018
L'Été de Kikujiro,Takeshi Kitano,1999
La Maison,Anissa Bonnefont,2022
Au-delà des collines,Cristian Mungiu,2012
Au bout de mes rêves,Wes Hurley,2021
Coma,Bertrand Bonello,2022
Les Lendemains de veille,Loïc Paillard,2021
Samhain,Kate Dolan,2021
Un ange à ma table,Jane Campion,1990
Kids Return,Takeshi Kitano,1995
Le Feu follet,Louis Malle,1963
Tout le monde aime Jeanne,Céline Devaux,2022
Plan-cul la Praline,Divers,2021
Saint Maud,Rose Glass,2019
Tale of Tales,Matteo Garrone,2015
Citoyens du monde,Gianni Di Gregorio,2019
M.O.M. : Mothers of Monsters,Tucia Lyman,2020
Sogni d'oro,Nanni Moretti,1981
Vous n'aurez pas ma haine,Kilian Riedhof,2022
Le Lycéen,Christophe Honoré,2022
Comedy Queen,Sanna Lenken,2022
L'hiver dernier,John Shank,2011
Hana-Bi,Takeshi Kitano,1997
Assassin,Jesse Atlas,2023
Le Manoir des fantasmes,Don Sharp,1974
Life During Wartime,Todd Solondz,2008
Trop d'amour,Frankie Wallach,2020
Red Rocket,Sean Baker,2021
Belleville Tokyo,Élise Girard,2010
La Cible vivante,Anthony Mann,1945
Sebastiane,"Derek Jarman,Paul Humfress",1976
Les Mystères de Barcelone,Lluis Danès,2020
Touchées,Alexandra Lamy,2021
Moonrise Kingdom,Wes Anderson,2011
Ariaferma,Leonardo Di Costanzo,2021
Chasseuse de géants,Anders Walter,2017
L'Âme des guerriers,Lee Tamahori,1994
Rendez-vous l'été prochain,Philip Seymour Hoffman,2009
Leila et ses frères,Saeed Roustaee,2022
Les Amandiers,Valéria Bruni Tedeschi,2022
EO,Jerzy Skolimowski,2022
Piggy,Carlota Pereda,2022
L'Innocent,Louis Garrel,2022
Jacky Caillou,Lucas Delangle,2022
Les Criminels,Joseph Losey,1960
Une Femme coréenne,Im Sang-soo,2003
Jubilee,Derek Jarman,1978
Expérience,Abbas Kiarostami,1973
Les Roseaux sauvages,André Téchiné,1994
Une femme de notre temps,Jean Paul Civeyrac,2022
Horror in the High Desert,Dutch Marich,2021
Pauline Détective,Marc Fitoussi,2012
Le Plaisir,Max Ophüls,1952
Un 32 août sur Terre,Denis Villeneuve,1997
Trois nuits par semaine,Florent Gouëlou,2022
Oranges sanguines,Jean-Christophe Meurisse,2021
Inexorable,Fabrice Du Welz,2021
Des filles disparaissent,Douglas Sirk,1947
Saint Omer,Alice Diop,2022
Le Tigre et le Président,Jean-Marc Peyrefitte,2022
Passe montagne,Jean-François Stévenin,1977
Rue des Cités,Hakim Zouhani,2011
Méduse,Sophie Lévy,2022
The Trip,Tommy Wirkola,2021
La Communauté,Thomas Vinterberg,2014
Mes rendez-vous avec Léo,Sophie Hyde,2022
Feu follet,João Pedro Rodrigues,2021
Pacifiction - Tourment sur les îles,Albert Serra,2022
The Last of England,Derek Jarman,1987
Novembre,Cédric Jimenez,2022
La Guerre des polices,Robin Davis,1979
Scènes de chasse en Bavière,Peter Fleischmann,1968
EGŌ,Hannah Bergholm,2021
Chocolat,Claire Denis,1988
Bleeder,Nicolas Winding Refn,1998
Jukaï : la Forêt des Suicides,Takashi Shimizu,2021
X (Ti West),Ti West,2022
Le Jeune Marié,Bernard Stora,1983
Reality,Matteo Garrone,2011
Forfaiture,Cecil B. DeMille,1915
Le Vent nous emportera,Abbas Kiarostami,1999
The Medium,Banjong Pisanthanakun,2021
Bowling Saturne,Patricia Mazuy,2022
The Old Way,Brett Donowho,2022
L'Année du requin,Zoran Boukherma,2021
Jeunesse en sursis,Kateryna Gornostai,2021
La conspiration du Caire,Tarik Saleh,2022
Le sixième enfant,Léopold Legrand,2022
OSS 117 - Rio ne répond plus,Michel Hazanavicius,2008
Au revoir là-haut,Albert Dupontel,2017
Rumba la vie,Franck Dubosc,2021
OSS 117 - Le Caire nid d'espion,Michel Hazanavicius,2006
Inside Ted :  Dans la tête d'un serial killer,Amber Sealey,2021
JSA (Joint Security Area),Park Chan-wook,2000
Les vieux Fourneaux 2 : Bons pour l'asile,Christophe Duthuron,2022
Le passager,Abbas Kiarostami,1974
Les Enfants des autres,Rebecca Zlotowski,2022
